0,1
writes contribution,योगदान लिखता है
possible reviewer,संभावित समीक्षक
scientific event,वैज्ञानिक कार्यक्रम
accepted contribution,स्वीकृत योगदान
has been assigned review preference,समीक्षा वरीयता दी गई है
has country,देश है
session chair,सत्र के अध्यक्ष
event of submission,प्रस्तुत करने का कार्यक्रम
adjusted by,द्वारा समायोजित
has menu,मेनू है
volume number of proceedings,कार्यवाही की मात्रा संख्या
co-written by,द्वारा सह-लिखित
parallel and distributed computing topic,समानांतर और वितरित कंप्यूटिंग विषय
workshop session,कार्यशाला सत्र
participant,प्रतिभागी
coffee break,कॉफी के लिए विराम
part of,का हिस्सा
government organization,सरकारी संगठन
paper presented as,शोध पत्र के रूप में प्रस्तुत किया
award for best research paper,सर्वश्रेष्ठ शोध पत्र के लिए पुरस्कार
is sent before,से पहले भेजा गया
organises,आयोजित करते हैं
deals with topic,विषय से संबंधित है
academic institution,शैक्षणिक संस्थान
submit of paper,शोध पत्र जमा करना
registration fee for member of sigkdd,sigkdd . के सदस्य के लिए पंजीकरण शुल्क
external reviewer,बाहरी समीक्षक
departure tax,प्रस्थान कर
social event,सामाजिक कार्यक्रम
activity of renting a car,कार किराए पर लेने की गतिविधि
has relevant administrative event,प्रासंगिक प्रशासनिक कार्यक्रम है
author of student paper,छात्र शोध पत्र के लेखक
enable virtual meeting,आभासी बैठक सक्षम करें
review of paper,शोध पत्र की समीक्षा
meeting room,बैठक का कमरा
hall of conference,सम्मेलन का सभा-भवन
setting of maximal number of event,कार्यक्रम की अधिकतम संख्या की स्थापना
has submitted contribution,योगदान जमा किया है
conference manuscript date and time deadline,सम्मेलन पांडुलिपि तिथि और समय की समय सीमा
prepares,तैयर करता है
paper author,शोध पत्र लेखक
author of paper,शोध पत्र के लेखक
conference venue,सम्मेलन का स्थान
accept rating,मूल्यांकन स्वीकार करें
social activity,सामाजिक गतिविधि
adjust,समायोजित करना
is paid with,के साथ भुगतान किया जाता है
registration fee paid by an attending author for receiving proceedings as cd,सीडी के रूप में कार्यवाही प्राप्त करने के लिए एक उपस्थित लेखक द्वारा भुगतान की गई पंजीकरण शुल्क
speaker giving a lecture in front of the plenum,विस्तृत बैठक के सामने व्याख्यान देते वक्ता
medicine topic,दवा विषय
activity taking place before conference,सम्मेलन से पहले हो रही गतिविधि
hotel,विश्रामालय
organising agency,आयोजन संस्था
activity of modelling,मॉडलिंग की गतिविधि
enter review criteria,समीक्षा मानदंड दर्ज करें
organizational meeting,संगठनात्मक बैठक
review written by,द्वारा लिखित समीक्षा
starting date,शुरू करने की तिथि
deadline of abstract submission,सार प्रस्तुत करने की समय सीमा
publisher of proceedings is,कार्यवाही का प्रकाशक है
event is being held at,कार्यक्रम आयोजित किया जा रहा है
expertise degree of reviewer,समीक्षक का विशेषज्ञता स्तर
review question,समीक्षा प्रश्न
has date,तारीख है
chairman,अध्यक्ष
trip,यात्रा
run paper asignmedt tools,शोध पत्र असाइन किए गए उपकरण चलाएं
rejection,अस्वीकार
computer networks switching topic,संगणक जाल-तंत्र स्विचिंग विषय
has postal code,डाक कोड है
award for best application paper,सर्वश्रेष्ठ अनुप्रयोग शोध पत्र के लिए पुरस्कार
paper,शोध पत्र
is menu of,का मेनू है
reviews contribution,समीक्षा योगदान
city where a presenter comes from,शहर जहां से प्रस्तुतकर्ता आता है
write paper,शोध पत्र लिखें
has name,नाम है
has fax,फैक्स है
activity of simulating,अनुकरण की गतिविधि
has currency of cost,लागत की मुद्रा है
invited by reviewer,समीक्षक द्वारा आमंत्रित
needs,ज़रूरत
powerpoint presentation,पावरप्वाइंट प्रस्तुति
writes,लेखन
author who will receive proceedings as cd,लेखक जो सीडी के रूप में कार्यवाही प्राप्त करेंगे
participant of conference,सम्मेलन के प्रतिभागी
excursion,सैर
tax,कर
organize conference,सम्मेलन आयोजित करें
workshop paper,कार्यशाला शोध पत्र
is member of,का सदस्य है
date of abstract submission,सार प्रस्तुत करने की तिथि
presenter,प्रस्तोता
submitted contribution,जमा किया गया योगदान
person active at conference,सम्मेलन में सक्रिय व्यक्ति
conference paper date and time deadline,सम्मेलन शोध पत्र की तारीख और समय की समय सीमा
NGO,गैर सरकारी संगठन
makes presentation,प्रस्तुति देता है
amount of money,पैसे की राशि
mark conflict of interest,हितों के टकराव को चिह्नित करें
neutral review,तटस्थ समीक्षा
meal,भोजन
house of a presenter,एक प्रस्तुतकर्ता का घर
conference hall,सम्मेलन सभा-भवन
applicant for conference who lately paid conference fee,सम्मेलन के लिए आवेदक जिन्होंने हाल ही में सम्मेलन शुल्क का भुगतान किया
belongs to event,कार्यक्रम के अंतर्गत आता है
has bid,बोली है
write review,समीक्षा लिखो
registration fee for member of sigmod,सिगमोड के सदस्य के लिए पंजीकरण शुल्क
speaks at time or in place,समय या स्थान पर बोलता है
steering committee of conference is,सम्मेलन की संचालन समिति है
LCD projector,एल सी डी प्रक्षेपक
is sent by,द्वारा भेजा गया
wireless communications topic,वायरलेस संचार विषय
person involved with conference,सम्मेलन में शामिल व्यक्ति
location of conference,सम्मेलन का स्थान
has workshop,कार्यशाला है
viza,विज़ा
tip,बख्शीश
has biography,जीवनी है
antennas topic,एंटेना विषय
has deadline for submission,प्रस्तुत करने की समय सीमा है
departure,प्रस्थान
co-write,सह-लिखना
has email,ईमेल है
author,लेखक
rejected contribution,अस्वीकृत योगदान
has author,लेखक है
taxi,किराये पर चलने वाली मोटर गाडी
person,व्यक्ति
paid registration fee,भुगतान पंजीकरण शुल्क
individual presentation,एकल प्रस्तुति
registration fee paid by an attending author for receiving proceedings as book,पुस्तक के रूप में कार्यवाही प्राप्त करने के लिए एक उपस्थित लेखक द्वारा भुगतान की गई पंजीकरण शुल्क
has amount of,की राशि है
program chair,कार्यक्रम के अध्यक्ष
chair of program committee,कार्यक्रम समिति के अध्यक्ष
conference serie,सम्मेलन श्रृंखला
preference,पसंद
presenter who presents only on one day,प्रस्तुतकर्ता जो केवल एक दिन प्रस्तुत करता है
conference participant,सम्मेलन प्रतिभागी
member of organizing committee,आयोजन समिति के सदस्य
introduction,परिचय
has contribution,योगदान है
is prepared by,द्वारा तैयार किया जाता है
slide set,स्लाइड सेट
regular paper,नियमित शोध पत्र
cd proceeding,सीडी कार्यवाही
assigned by admin,व्यवस्थापक द्वारा सौंपा गया
reject paper,शोध पत्र को अस्वीकार करें
extended abstract,विस्तारित सार
numerical review question,संख्यात्मक समीक्षा प्रश्न
audiovisual equipment,श्रव्य दृश्य उपकरण
organisation,संगठन
abstrakt,सार
university of a presenter,एक प्रस्तुतकर्ता का विश्वविद्यालय
accepted paper,स्वीकृत शोध पत्र
reception,स्वागत समारोह
is dated on,दिनांकित है
has remark,टिप्पणी है
is presented in,में प्रस्तुत किया गया है
full version of paper,शोध पत्र का पूर्ण संस्करण
award for conference paper,सम्मेलन शोध पत्र के लिए पुरस्कार
conference hiker,सम्मेलन यात्री
item (in general),वस्तु (सामान्य रूप से)
computer,संगणक
conference,सम्मेलन
author of contribution,योगदान के लेखक
communication theory topic,संचार सिद्धांत विषय
updated version of,का अद्यतन संस्करण
setting of minimal number of event,कार्यक्रम की न्यूनतम संख्या की स्थापना
powerline transmission topic,विद्युत लाइन विद्युत लाइन विषय
poster paper,पोस्टर शोध पत्र
has been assigned,प्रभार दिया जा चुका है
oc chair,ओसी अध्यक्ष
has home page,होम पेज है
bronze sponzor of conference,सम्मेलन का कांस्य प्रायोजक
house of a company being a sponsor,प्रायोजक होने के नाते कंपनी का घर
day assigned for a trip,यात्रा के लिए नियत दिन
has keywords,कीवर्ड हैं
introduction of speaker,वक्ता का परिचय
registration fee for student,छात्र के लिए पंजीकरण शुल्क
"has been decided (to be accepted, rejected, ...)","निर्णय लिया गया है (स्वीकार किया जाना है, अस्वीकार किया जाना है, ...)"
call for participation,भागीदारी के लिए बुलावा
assigned by reviewer,समीक्षक द्वारा सौंपा गया
registered applicant,पंजीकृत आवेदक
organization,संगठन
has submission deadline,प्रस्तुत करने की समय सीमा है
one conference day,एक सम्मेलन दिवस
lists event,सूची कार्यक्रम
has program,कार्यक्रम है
listener,श्रोता
banquet,भोज
hardcopy of mailing manifests printed by,द्वारा डाक घोषणापत्र को कागज़ी रूप मे छापा गया
is location of,का स्थान है
has call,बुलावा है
conference paper,सम्मेलन शोध पत्र
volunteer of conference,सम्मेलन के स्वयंसेवक
two level conference,दो स्तरीय सम्मेलन
conference restaurant,सम्मेलन भोजनालय
activity taking place during conference,सम्मेलन के दौरान हो रही गतिविधि
is written by,द्वारा लिखा गया
evaluated paper,मूल्यांकित शोध पत्र
record of attendance,उपस्थिति का लिपिबद्ध करना
published paper,प्रकाशित शोध पत्र
member of IASTED,IASTED के सदस्य
stay in city,शहर में रहो
state of the presenter,प्रस्तुतकर्ता की स्थिति
platinum sponzor of conference,सम्मेलन के प्लेटिनम प्रायोजक
has last name,उपनाम है
has reviewer,समीक्षक है
computer networks management topic,संगणक जाल-तंत्र प्रबंधन विषय
event on list,सूची में कार्यक्रम
expert on topic,विषय पर विशेषज्ञ
conference acm sigkdd,सम्मेलन एसीएम sigkdd
CAD topic,सीएडी विषय
is occupied by,द्वारा कब्जा कर लिया गया है
committee for best paper awards,सर्वश्रेष्ठ शोध पत्र पुरस्कारों के लिए समिति
active paper,सक्रिय शोध पत्र
speaker who presents a tutorial,वक्ता जो एक ट्यूटोरियल प्रस्तुत करता है
assistant,सहायक
award for best student paper,सर्वश्रेष्ठ छात्र शोध पत्र के लिए पुरस्कार
steering committee,संचालन समिति
acceptance,स्वीकृति
is workshop chair of,कार्यशाला के अध्यक्ष है
follows,इस प्रकार
initiates,शुरू की
hotel room,विश्रामालय का कमरा
technically organised by,तकनीकी रूप से आयोजित
student participant of conference,सम्मेलन के छात्र प्रतिभागी
free time,खाली समय
member of TPC,टीपीसी के सदस्य
late-registered participant,देर से पंजीकृत प्रतिभागी
sponzorship,प्रायोजन
preference of reviewer,समीक्षक की वरीयता
has street,गली है
part of conference,सम्मेलन का हिस्सा
volume contains paper,वॉल्यूम में शोध पत्र होता है
has conflict of interest with respect to,के संबंध में हितों का टकराव है
event of sending camera-ready version,कैमरा-तैयार संस्करण भेजने का कार्यक्रम
car,गाड़ी
is held after,के बाद आयोजित किया जाता है
URL of conference web is,सम्मेलन वेब का यूआरएल है
personal publication history,व्यक्तिगत प्रकाशन इतिहास
pays,भुगतान करता है
chair of conference,सम्मेलन के अध्यक्ष
publisher,प्रकाशक
administrator,प्रशासक
place,स्थान
organizer,व्यवस्था करनेवाला
proceedings of conference,सम्मेलन की कार्यवाही
company,संगठन
contribution,योगदान
registration fee for person not being member of SIG,एसआईजी का सदस्य नहीं होने वाले व्यक्ति के लिए पंजीकरण शुल्क
study at university,विश्व विद्यालय में अध्ययन
referenced in,में संदर्भित
details entered by,विवरण दर्ज किया गया
conference session,सम्मेलन सत्र
attendee,प्रतिभागी
is locally situated in,स्थानीय रूप से स्थित है
has logo at url,यूआरएल पर प्रतीक चिन्ह है
organised by,द्वारा आयोजित
student lecturer,छात्र व्याख्याता
abstract,सार
add,जोड़ें
is about paper,शोध पत्र के बारे में है
registration fee,पंजीकरण शुल्क
signs,हस्ताक्षर करता है
has award,पुरस्कार है
sponzor,प्रायोजक
gives,देता है
single level conference,एकल स्तरीय सम्मेलन
worker lecturer,कार्यकर्ता व्याख्याता
is topic of conference part,सम्मेलन भाग का विषय है
pc member,पीसी सदस्य
web of conference,सम्मेलन का जाल
is signed by,द्वारा हस्ताक्षरित है
activity of receiving a manuscript,पांडुलिपि प्राप्त करने की गतिविधि
degree of review preference,समीक्षा वरीयता का स्तर
has important date,महत्वपूर्ण तिथि है
weak-reject rating,कमजोर-अस्वीकार मूल्यांकन
time zone,समय क्षेत्र
scientifically organises,वैज्ञानिक रूप से आयोजित करता है
event,कार्यक्रम
reviewer bidding started by,द्वारा समीक्षक बोली शुरू की गई
talk,बात करना
form,प्रपत्र
registration fee for a member,एक सदस्य के लिए पंजीकरण शुल्क 
personal reviewing history,व्यक्तिगत समीक्षा इतिहास
computer networks sensor topic,संगणक जाल-तंत्र सेंसर विषय
conference contribution,सम्मेलन योगदान
is equipped for,के लिए सुसज्जित किया गया है
call for manuscripts,पांडुलिपियों के लिए बुलावा
deadline,समयसीमा
author information form,लेखक सूचना प्रपत्र
applicant for conference,सम्मेलन के लिए आवेदक
user,उपयोगकर्ता
invited talk abstract,आमंत्रित वार्ता सार
lecture given by a speaker,एक वक्ता द्वारा दिया गया व्याख्यान
session,सत्र
has review,समीक्षा है
research institute,अनुसंधान संस्थान
main office of conference,सम्मेलन का मुख्य कार्यालय
positive review,सकारात्मक समीक्षा
is present in time,समय पर मौजूद है
city which is the location for a trip,शहर जो एक यात्रा के लिए स्थान है
"occupies (lives, resides)","रहता है (रहता है, रहता है)"
has review expertise,समीक्षा विशेषज्ञता है
withdrawn paper,वापस ले लिया शोध पत्र
web site,वेबसाइट
held in,में आयोजित
stay in,अंदर रहना
publishes,प्रकाशित करते है
information for participants,प्रतिभागियों के लिए सूचना
activity of refusing a manuscript,पांडुलिपि को अस्वीकार करने की गतिविधि
sponsorship,प्रायोजन
abstract of paper,शोध पत्र का सार
tutorial abstract,ट्यूटोरियल सार
student who is not a speaker,छात्र जो वक्ता नहीं है
active participant of conference,सम्मेलन के सक्रिय प्रतिभागी
rated paper,मुलंकित शोध पत्र
track,ट्रैक
deadline for notification of acceptance,स्वीकृति की अधिसूचना के लिए समय सीमा
organizing committee of conference is,सम्मेलन की आयोजन समिति है
has valued added tax,मूल्य वर्धित कर है
currency,मुद्रा
tutorial chair,ट्यूटोरियल अध्यक्ष
workshop,कार्यशाला
member of program committee,कार्यक्रम समिति के सदस्य
conference banquet,सम्मेलन भोज
is visited by,द्वारा दौरा किया गया है
topic,विषय
conference days,सम्मेलन के दिन
single hotel room,सिंगल विश्रामालय रूम
end day of event,कार्यक्रम का अंतिम दिन
industrial paper,औद्योगिक शोध पत्र
has start date and time,प्रारंभ दिनांक और समय है
final manuscript,अंतिम पांडुलिपि
demo session,डेमो सत्र
test only topic,केवल विषय का परीक्षण करें
meta-review,मेटा-समीक्षा
hotel presenter,विश्रामालय प्रस्तोता
program committee of conference is,सम्मेलन की कार्यक्रम समिति है
shuttle bus,लोकल बस
is used for,के लिए प्रयोग किया गया है
camera-ready version of contribution,योगदान का कैमरा-तैयार संस्करण
speaker,वक्ता
card,कार्ड
sc member,एससी सदस्य
academic event,शैक्षणिक कार्यक्रम
conference airport,सम्मेलन हवाई अड्डा
track of conference,सम्मेलन का ट्रैक
print hardcopy mailing manifests,डाक घोषणापत्र कागज़ी रूप मे छापे 
chair,अध्यक्ष
demo chair,डेमो अध्यक्ष
pc chair,पीसी अध्यक्ष
video presentation,वीडियो प्रस्तुति
has attendee,सहभागी है
van,वैन
call for reviews,समीक्षा के लिए बुलावा
obtained award,पुरस्कार प्राप्त किया
programme brochure,कार्यक्रम विवरणिका
preference or expertise of review is,समीक्षा की वरीयता या विशेषज्ञता है
payment document,भुगतान दस्तावेज
city where a sponzor comes from,शहर जहां से एक प्रायोजक आता है
has submission instructions,प्रस्तुत करने के निर्देश हैं
welcome speech,स्वागत भाषण
publisher of,के प्रकाशक
is provider of,का प्रदाता है
has tutorial,ट्यूटोरियल है
not member of iasted,iasted के सदस्य नहीं
chair of workshop track,कार्यशाला ट्रैक के अध्यक्ष
submitted to,को प्रस्तुत
sends,भेजता है
accommodation,निवास स्थान
goes through,के माध्यम से जाता है
event of reviewing,समीक्षा का कार्यक्रम
subject area,विषय क्षेत्र
security topic,सुरक्षा विषय
sponzor as exhibitor,प्रदर्शक के रूप में प्रायोजक
first author of contribution,योगदान के पहले लेखक
is co-chair of committee,समिति के सह-अध्यक्ष हैं
negative review,नकारात्मक समीक्षा
any kind of document,किसी भी प्रकार का दस्तावेज
relates to,से संबंधित
maximal number of assigned papers,शोध पत्र सौपने की अधिकतम संख्या
enter details on,पर विवरण दर्ज करें
date of camera-ready submission,कैमरा-रेडी प्रस्तुति करने की तारीख
participant of conference has early registration,सम्मेलन के प्रतिभागी का प्रारंभिक पंजीकरण है
university,विश्वविद्यालय
registration fee is in currency,पंजीकरण शुल्क मुद्रा में है
has member,सदस्य है
double hotel room,जोड़े का विश्रामालय कक्ष
contributor for conference,सम्मेलन के लिए योगदानकर्ता
main office,मुख्य कार्यालय
overhead projector,उपरि प्रक्षेपक
associated chair,संबद्ध अध्यक्ष
is part of conference,सम्मेलन का हिस्सा है
communications topic,संचार विषय
co-author,सह लेखक
has abstract,सार है
has updated version,अद्यतन संस्करण है
has price,कीमत है
has nationality,राष्ट्रीयता है
written by,द्वारा लिखित
has surname,उपनाम है
computer networks measurements topic,संगणक जाल-तंत्र माप विषय
student,छात्र
state where the conference takes place,वह राज्य जहां सम्मेलन होता है
inverse of partof 7,7 के भाग का व्युत्क्रम
workshop chair,कार्यशाला के अध्यक्ष
is connected with,के साथ जुड़ा हुआ है
oc member,ओसी सदस्य
part of event,कार्यक्रम का हिस्सा
assign,सौंपना
conference registration date and time deadline,सम्मेलन पंजीकरण की तारीख और समय की समय सीमा
location of,के स्थान
is designed for,के लिए बनाया गया है
video cassette player,वीडियो कैसेट प्लेयर
is needed for,के लिए आवश्यक है
country,देश
reviewer,आलोचक
decision,फेसला
accepts hardcopy submissions,हार्डकॉपी सबमिशन स्वीकार करता है
technical committee,तकनीकी समिति
contributed talk,योगदान दिया बात
building,इमारत
rejected by,द्वारा अस्वीकृत किया गया
tutorial,ट्यूटोरियल
accepts,स्वीकार
poster,पोस्टर
read paper,शोध पत्र पढ़ें
reject rating,मूल्यांकन को अस्वीकार करें
presentation of paper,शोध पत्र की प्रस्तुति
camera ready paper,कैमरा तैयार शोध पत्र
registration fee for a student,एक छात्र के लिए पंजीकरण शुल्क
webmaster,वेबमास्टर
reviewer of paper,शोध पत्र के समीक्षक
program committee,कार्यक्रम समिति
hotel registration form,विश्रामालय पंजीकरण प्रपत्र
conference document,सम्मेलन दस्तावेज़
is initiated by,द्वारा शुरू किया गया है
document,दस्तावेज़
registration fee paid by,द्वारा भुगतान किया गया पंजीकरण शुल्क
bid,बोली
publication,प्रकाशन
flyer,फ़्लायर्स 
fee for extra trip,अतिरिक्त यात्रा के लिए शुल्क
topic covered by,द्वारा कवर किया गया विषय
is provided by,द्वारा प्रदान किया जाता है
to be done till,तक किया जाना है
presentation of a paper,एक शोध पत्र की प्रस्तुति
event of registration of participants event,प्रतिभागियों के पंजीकरण की कार्यक्रम
dinner banquet,रात्रिभोज
has website at url,यूआरएल पर वेबसाइट है
applicant for conference who paid conference fee,सम्मेलन के लिए आवेदक जिन्होंने सम्मेलन शुल्क का भुगतान किया
organizing committee,आयोजन समिति
for event,कार्यक्रम के लिए
demo paper,डेमो शोध पत्र
has name of conference,सम्मेलन का नाम है
signal processing topic,संकेत प्रक्रमन विषय
was presented by,द्वारा प्रस्तुत किया गया था
preference or expertise of reviewer,समीक्षक की वरीयता या विशेषज्ञता
has workshop topic,कार्यशाला का विषय है
sponsor,प्रायोजक
meta-reviewer,मेटा-समीक्षक
delegate (person registering and visiting the conference),प्रतिनिधि (सम्मेलन का पंजीकरण और दौरा करने वाला व्यक्ति)
references,संदर्भ
bank transfer,बैंक ट्रांसफर
industrial organization,औद्योगिक संगठन
has id,पहचान है
industrial session,औद्योगिक सत्र
author who will receive proceedings as book,लेखक जो पुस्तक के रूप में कार्यवाही प्राप्त करेगा
set maximal number of assigned paper,शोध पत्र सौपने की अधिकतम संख्या निर्धारित करें
mailing list,मेलिंग सूची
is the first part of,का पहला भाग है
accept-if-room rating,स्वीकार्य-अगर-कमरे मूल्यांकन
is used by,द्वारा प्रयोग किया जाता है
is paid by,द्वारा भुगतान किया गया
is present in time or space,समय या स्थान में मौजूद है
regular participant of conference,सम्मेलन के नियमित भागीदार
location,स्थान
employed by,के द्वारा नियुक्त
fee,शुल्क
assigned to,को सौंपना
computer networks security topic,संगणक जाल-तंत्र सुरक्षा विषय
computer networks enterprise topic,संगणक जाल-तंत्र उद्यम विषय
is made from,से बनाया गया है
sponzor for best student paper,सर्वश्रेष्ठ छात्र शोध पत्र के लिए प्रायोजक
is steering committee of conference,सम्मेलन की संचालन समिति है
full day tour,पूरे दिन का दौरा
listener of conference,सम्मेलन के श्रोता
science worker,विज्ञान कार्यकर्ता
important date of conference serie,सम्मेलन श्रृंखला की महत्वपूर्ण तिथि
covers topic,विषय को शामिल करता है
silver sponzor of conference,सम्मेलन का रजत प्रायोजक
state,राज्य
finalize paper assignment,शोध पत्र कार्यभार को अंतिम रूप दें
satellite and space communications topic,उपग्रह और अंतरिक्ष संचार विषय
worker who is not a speaker,कार्यकर्ता जो वक्ता नहीं है
organizator of conference,सम्मेलन के आयोजक
administrative event,प्रशासनिक कार्यक्रम
has name (full name of conference),नाम है (सम्मेलन का पूरा नाम)
deadline for submiting,जमा करने की समय सीमा
reviews per paper,प्रति शोध पत्र समीक्षा
brief introduction for session chair,सत्र अध्यक्ष के लिए संक्षिप्त परिचय
has sponzor name,प्रायोजक का नाम है
invited talk,आमंत्रित वार्ता
is given by,द्वारा दिया गया है
has end date and time,समाप्ति तिथि और समय है
stay in street,गली में रहो
topic related to review preference,समीक्षा वरीयता से संबंधित विषय
fee for conference,सम्मेलन के लिए शुल्क
has committee co-chair,समिति के सह-अध्यक्ष हैं
committee of conference is,सम्मेलन की समिति है
cheque,चेक
conference takes place in city,सम्मेलन निम्न शहर में होता है
non academic event,गैर शैक्षणिक आयोजन
invited speaker,आमंत्रित वक्ता
deadline for registration,पंजीकरण की समय सीमा
invites co-reviewer,सह-समीक्षक को आमंत्रित करता है
set-up deadline for,के लिए स्थापित करने की समय सीमा
stay in country,देश में रहो
author of,के लेखक
obtains,प्राप्त
is given to,को दिया गया है
academic organization,शैक्षणिक संगठन
proceedings publisher,कार्यवाही प्रकाशक
agency staff member,संस्था कर्मचारी सदस्य
is paid in,में भुगतान किया जाता है
transport vehicle,परिवहन वाहन
sponzor fee,प्रायोजक शुल्क
registration,पंजीकरण
has location,स्थान है
registration fee for a non member,एक गैर सदस्य के लिए पंजीकरण शुल्क
conference hotel,सम्मेलन विश्रामालय
overhead transparency,उपरि पारदर्शिता
deadline for the hotel reservation,विश्रामालय आरक्षण के लिए समय सीमा
is program committee of conference,सम्मेलन की कार्यक्रम समिति है
conference dinner,सम्मेलन रात्रिभोज
date of final day of conference,सम्मेलन के अंतिम दिन की तारीख
call for paper,शोध पत्र के लिए बुलावा
is topic of,का विषय है
deadline of paper submission,शोध पत्र जमा करने की समय सीमा
start reviewer bidding,समीक्षक बोली शुरू करें
date of starting day of conference,सम्मेलन के शुरू होने की तारीख
computer architecture topic,संगणक वास्तुकला विषय
travel grant,यात्रा अनुदान
paper in volume,मात्रा में शोध पत्र
initial manuscipt,प्रारंभिक पांडुलिपि
co-chair,सह अध्यक्ष
hotel fee,विश्रामालय शुल्क
activity taking place after conference,सम्मेलन के बाद हो रही गतिविधि
member of committee,समिति के सदस्य
call for sponzor,प्रायोजक के लिए बुलावा
has first name,पहला नाम है
lecturer,व्याख्याता
poster session,पोस्टर प्रेसेंटेशन
deadline for submitting the camera ready script,कैमरा तैयार स्क्रिप्ट जमा करने की समय लेख
important date,महत्वपूर्ण तिथि
has committee chair,समिति के अध्यक्ष है
has gender,लिंग है
coctail reception,कॉकटेल स्वागत
end reviewing time,समीक्षा का समय समाप्त करें
review,समीक्षा
is review history of,समीक्षा इतिहास है
has review history,समीक्षा इतिहास है
contact information,संपर्क जानकारी
regular contribution,नियमित योगदान
conference start date and time,सम्मेलन शुरू होने की तारीख और समय
conference organized by,द्वारा सम्मेलन आयोजित
has title,शीर्षक है
invitation letter,निमंत्रण पत्र
city,शहर
event related to a conference,एक सम्मेलन से संबंधित कार्यक्रम
has contact email,संपर्क ईमेल है
operating systems topic,प्रचालन तंत्र विषय
review rating,समीक्षा मूल्यांकन
regular session,नियमित सत्र
terminal day,अंतिम दिन
assigned paper,सौंपा किया गया शोध पत्र
reviews,समीक्षा
has short title,संक्षिप्त शीर्षक है
technical activity,तकनीकी गतिविधि
is parallel with,समानांतर है
review criteria entered by,द्वारा समीक्षा मानदंड दर्ज
has workshop chair,कार्यशाला का अध्यक्ष है
radio communications topic,रेडियो संचार विषय
registration fee a non author,एक गैर लेखक के लिए पंजीकरण शुल्क
awarded by,द्वारा सम्मानित किया गया
committee,समिति
